FECHA,TIPO,TITULO,DESCARGAR,SITIO OFICIAL CONVENCION
2021-08-25T23:15:07.374Z,subcomision,subcomision participacion popular y equidad territorial pm miercoles 18 de agosto,https://mdstrm.com/video/6126cefb8e5a16385e0a70c9.mp4,https://convencion.tv/video/subcomision-participacion-popular-y-equidad-territorial-pm-convencion-constitucional-miercoles-18-de-agosto-2021
2021-08-25T23:11:30.301Z,comision,comision n°20 de reglamento miercoles 25 de agosto,https://mdstrm.com/video/6126ce225b78b708262b2951.mp4,https://convencion.tv/video/comision-n20-de-reglamento-convencion-constitucional-miercoles-25-de-agosto
2021-08-25T22:53:09.328Z,subcomision,subcomision participacion popular y equidad territorial am miercoles 18 de agosto,https://mdstrm.com/video/6126c9d54392640822e20f1e.mp4,https://convencion.tv/video/subcomision-participacion-popular-y-equidad-territorial-am-convencion-constitucional-miercoles-18-de-agosto-2021
2021-08-25T22:32:23.718Z,comision,comision n°29 de etica miercoles 25 de agosto,https://mdstrm.com/video/6126c4f7eacb010830f48be5.mp4,https://convencion.tv/video/comision-n29-de-etica-convencion-constitucional-miercoles-25-de-agosto-2021
2021-08-25T22:18:48.589Z,subcomision,subcomision participacion popular viernes 20 de agosto,https://mdstrm.com/video/6126c1c833057319b9297fc6.mp4,https://convencion.tv/video/subcomision-participacion-popular-convencion-constitucional-viernes-20-de-agosto-2021
2021-08-25T21:54:36.093Z,comision,comision presupuesto y administracion interior miercoles 25 de agosto,https://mdstrm.com/video/6126bc1c33057319b9297f42.mp4,https://convencion.tv/video/comision-presupuesto-y-administracion-interior-convencion-constitucional-miercoles-25-de-agosto-2021
2021-08-25T19:03:43.613Z,subcomision,subcomision dd.hh: verdad historica reparacion integral y garantia de no repeticion miercoles 25 de agosto,https://mdstrm.com/video/6126940ffdaba20826251f3a.mp4,https://convencion.tv/video/subcomision-ddhh-verdad-historica-reparacion-integral-y-garantia-de-no-repeticion-convencion-constitucional-miercoles-25-de-agosto-2021
2021-08-25T18:35:14.621Z,subcomision,subcomision de presupuestos y administracion interior miercoles 25 de agosto,https://mdstrm.com/video/61268d620cb3bf08201ceaa9.mp4,https://convencion.tv/video/subcomision-de-presupuestos-y-administracion-interior-convencion-constitucional-miercoles-25-de-agosto-2021
2021-08-25T17:18:08.029Z,comision,comision n°21 de descentralizacion equidad y justicia territorial miercoles 25 de agosto,https://mdstrm.com/video/61267b50e7011e7779fb2a18.mp4,https://convencion.tv/video/comision-n21-de-descentralizacion-equidad-y-justicia-territorial-convencion-constitucional-miercoles-25-de-agosto-2021
2021-08-25T17:17:42.046Z,comision,comision n°19 de reglamento miercoles 25 de agosto,https://mdstrm.com/video/61267b367e0c89082720b908.mp4,https://convencion.tv/video/comision-n19-de-reglamento-convencion-constitucional-miercoles-25-de-agosto-2021
2021-08-25T17:04:16.984Z,comision,comision n°28 de etica miercoles 25 de agosto,https://mdstrm.com/video/612678108e5a16385e0a663f.mp4,https://convencion.tv/video/comision-n28-de-etica-convencion-constitucional-miercoles-25-de-agosto-2021
2021-08-25T16:27:47.429Z,subcomision,subcomision dd.hh: marco general de derechos humanos ambientales y de la naturaleza martes 24 de agosto,https://mdstrm.com/video/61266f83f1e06008396b1c20.mp4,https://convencion.tv/video/subcomision-ddhh-marco-general-de-derechos-humanos-ambientales-y-de-la-naturaleza-convencion-constitucional-martes-24-de-agosto-2021
2021-08-25T13:55:55.018Z,subcomision,subcomision de estructura organica y gestion de personas martes 24 de agosto,https://mdstrm.com/video/61264bebcdc0fd082df4a813.mp4,https://convencion.tv/video/subcomision-de-estructura-organica-y-gestion-de-personas-convencion-constitucional-martes-24-de-agosto-2021-1
2021-08-25T13:24:05.798Z,comision,comision n°20 de descentralizacion equidad y justicia territorial martes 24 de agosto,https://mdstrm.com/video/61264475f1e06008396b18eb.mp4,https://convencion.tv/video/comision-n20-de-descentralizacion-equidad-y-justicia-territorial-convencion-constitucional-martes-24-de-agosto-2021
2021-08-24T23:45:50.578Z,comision,comision n°18 de reglamento martes 24 de agosto,https://mdstrm.com/video/612584ae8354f90835ba7927.mp4,https://convencion.tv/video/comision-n18-de-reglamento-convencion-constitucional-martes-24-de-agosto-2021
2021-08-24T23:29:35.313Z,comision,comision nº17 comunicaciones informacion y transparencia martes 24 de agosto,https://mdstrm.com/video/612580dfdc09280832b7c55d.mp4,https://convencion.tv/video/comision-n17-comunicaciones-informacion-y-transparencia-convencion-constitucional-martes-24-de-agosto-2021
2021-08-24T22:08:34.013Z,comision,comision nº27 de etica martes 24 de agosto,https://mdstrm.com/video/61256de2c235f5082277e6fe.mp4,https://convencion.tv/video/comision-n27-de-etica-convencion-constitucional-martes-24-de-agosto-2021
2021-08-24T21:56:04.943Z,subcomision,subcomision presupuestos y administracion interior martes 24 de agosto,https://mdstrm.com/video/61256af433057319b9295bdf.mp4,https://convencion.tv/video/subcomision-presupuestos-y-administracion-interior-convencion-constitucional-martes-24-de-agosto-2021
2021-08-24T21:33:29.730Z,comision,comision nº24 de participacion popular y equidad territorial martes 24 de agosto,https://mdstrm.com/video/612565a95fa3d2082d19bf03.mp4,https://convencion.tv/video/comision-n24-de-participacion-popular-y-equidad-territorial-convencion-constitucional-martes-24-de-agosto-2021
2021-08-24T21:30:41.166Z,comision,comision nº19 participacion y consulta indigena martes 24 de agosto,https://mdstrm.com/video/61256501969888082d90befa.mp4,https://convencion.tv/video/comision-n19-participacion-y-consulta-indigena-convencion-constitucional-martes-24-de-agosto-2021
2021-08-24T20:58:14.423Z,pleno,pleno 17° sesion martes 24 de agosto,https://mdstrm.com/video/61255d66298cb747344a7881.mp4,https://convencion.tv/video/pleno-17-sesion-convencion-constitucional-martes-24-de-agosto-2021-1
2021-08-24T18:24:01.259Z,subcomision,subcomision ddhh: verdad historica reparacion integral y garantia de no repeticion viernes 20 de agosto,https://mdstrm.com/video/6125394133057319b9289bd2.mp4,https://convencion.tv/video/subcomision-ddhh-verdad-historica-reparacion-integral-y-garantia-de-no-repeticion-convencion-constitucional-viernes-20-de-agosto-2021
2021-08-24T14:03:46.549Z,subcomision,subcomision ddhh: verdad historica reparacion integral y garantia de no repeticion (2°parte) sabado 21 de agosto,https://mdstrm.com/video/6124fc420d61ec0830501580.mp4,https://convencion.tv/video/subcomision-ddhh-verdad-historica-reparacion-integral-y-garantia-de-no-repeticion-2parte-convencion-constitucional-sabado-21-de-agosto-2021
2021-08-24T13:56:03.733Z,subcomision,subcomision ddhh: verdad historica reparacion integral y garantia de no repeticion (1°parte) sabado 21 agosto,https://mdstrm.com/video/6124fa73a495ee08360ea9c8.mp4,https://convencion.tv/video/subcomision-ddhh-verdad-historica-reparacion-integral-y-garantia-de-no-repeticion-1parte-convencion-constitucional-sabado-21-agosto-2021
2021-08-24T00:14:13.031Z,subcomision,subcomision dd.hh: marco general de derechos humanos ambientales y de la naturaleza,https://mdstrm.com/video/612439d58640440821ff2323.mp4,https://convencion.tv/video/subcomision-ddhh-marco-general-de-derechos-humanos-ambientales-y-de-la-naturaleza
2021-08-24T00:13:53.911Z,subcomision,subcomision dd:hh: verdad historica reparacion integral y garantia de no repeticion lunes 23 de agosto,https://mdstrm.com/video/612439c149e4d52c5b2e8e64.mp4,https://convencion.tv/video/subcomision-ddhh-verdad-historica-reparacion-integral-y-garantia-de-no-repeticion-convencion-constitucional-lunes-23-de-agosto-2021
2021-08-23T23:39:59.505Z,comision,comision n°19 de descentralizacion equidad y justicia territorial lunes 23 de agosto,https://mdstrm.com/video/612431cf53a4a808391f6bea.mp4,https://convencion.tv/video/comision-n19-de-descentralizacion-equidad-y-justicia-territorial-convencion-constitucional-lunes-23-de-agosto-2021
2021-08-23T22:29:32.693Z,comision,comision nº26 de etica lunes 23 de agosto,https://mdstrm.com/video/6124214c6635c442301f754a.mp4,https://convencion.tv/video/comision-n26-de-etica-convencion-constitucional-lunes-23-de-agosto-2021
2021-08-23T22:17:11.701Z,comision,comision nº23 de participacion popular y equidad territorial lunes 23 de agosto,https://mdstrm.com/video/61241e6737d7bc1b34f9657f.mp4,https://convencion.tv/video/comision-n23-de-participacion-popular-y-equidad-territorial-convencion-constitucional-lunes-23-de-agosto-2021
2021-08-23T21:54:56.618Z,comision,comision n°17 de reglamento lunes 23 de agosto,https://mdstrm.com/video/612419304a30cc3659e0fecd.mp4,https://convencion.tv/video/comision-n17-de-reglamento-convencion-constitucional-lunes-23-de-agosto-2021
2021-08-23T19:31:42.670Z,subcomision,subcomision dd.hh: verdad historica reparacion integral y garantia de no repeticion lunes 23 agosto,https://mdstrm.com/video/6123f79eb055861a2450ee7c.mp4,https://convencion.tv/video/subcomision-ddhh-verdad-historica-reparacion-integral-y-garantia-de-no-repeticion-convencion-constitucional-lunes-23-agosto-2021
2021-08-23T19:15:23.158Z,subcomision,subcomision dd.hh: marco general de derechos humanos ambientales y de la naturaleza lunes 23 de agosto,https://mdstrm.com/video/6123f3cb5e7c066b8d439e19.mp4,https://convencion.tv/video/subcomision-ddhh-marco-general-de-derechos-humanos-ambientales-y-de-la-naturaleza-convencion-constitucional-lunes-23-de-agosto-2021
2021-08-23T17:11:26.628Z,comision,comision nº25 de etica lunes 23 de agosto,https://mdstrm.com/video/6123d6be17978b081bdc888a.mp4,https://convencion.tv/video/comision-n25-de-etica-convencion-constitucional-lunes-23-de-agosto-2021
2021-08-23T15:04:26.230Z,subcomision,subcomision dd.hh: marco general de derechos humanos ambientales y de la naturaleza sabado 21 de agosto,https://mdstrm.com/video/6123b8fad85efe082194dc17.mp4,https://convencion.tv/video/subcomision-ddhh-marco-general-de-derechos-humanos-ambientales-y-de-la-naturaleza-convencion-constitucional-sabado-21-de-agosto-2021
2021-08-23T14:30:24.342Z,comision,comision nº17 de descentralizacion equidad y justicia territorial sabado 21 de agosto,https://mdstrm.com/video/6123b100c5a8bc083366b515.mp4,https://convencion.tv/video/comision-n17-de-descentralizacion-equidad-y-justicia-territorial-convencion-constitucional-sabado-21-de-agosto
2021-08-20T22:52:37.471Z,subcomision,subcomision dd.hh: marco general de derechos humanos ambientales y de la naturaleza viernes 20 de agosto,https://mdstrm.com/video/612032350fbde504ee761ac6.mp4,https://convencion.tv/video/subcomision-ddhh-marco-general-de-derechos-humanos-ambientales-y-de-la-naturaleza-convencion-constitucional-viernes-20-de-agosto-2021
2021-08-20T21:58:46.888Z,otro,reunion de coordinadores de reglamento viernes 20 de agosto,https://mdstrm.com/video/61202596a2dfe00821eb0a39.mp4,https://convencion.tv/video/reunion-de-coordinadores-de-reglamento-convencion-constitucional-viernes-20-de-agosto-2021-1
2021-08-20T19:28:45.039Z,subcomision,subcomision de descentralizacion equidad y justicia territorial: educacion popular constituyente viernes 20 de agosto,https://mdstrm.com/video/6120026d5f5206082fc2a937.mp4,https://convencion.tv/video/subcomision-de-descentralizacion-equidad-y-justicia-territorial-educacion-popular-constituyente-convencion-constitucional-viernes-20-de-agosto-2021
2021-08-20T19:22:22.575Z,otro,reunion de coordinadores de reglamento viernes 20 de agosto,https://mdstrm.com/video/612000eec586d00838f76db0.mp4,https://convencion.tv/video/reunion-de-coordinadores-de-reglamento-convencion-constitucional-viernes-20-de-agosto-2021
2021-08-20T19:10:17.006Z,comision,comision nº16 comunicaciones informacion y transparencia viernes 20 de agosto,https://mdstrm.com/video/611ffe19c9ef5e0822d9348c.mp4,https://convencion.tv/video/comision-n16-comunicaciones-informacion-y-transparencia-convencion-constitucional-viernes-20-de-agosto-2021
2021-08-20T18:52:51.097Z,comision,comision nº16 de descentralizacion equidad y justicia territorial viernes 20 de agosto,https://mdstrm.com/video/611ffa039e9a5308219f70fa.mp4,https://convencion.tv/video/comision-n16-de-descentralizacion-equidad-y-justicia-territorial-convencion-constitucional-viernes-20-de-agosto-2021
2021-08-20T18:45:26.703Z,subcomision,subcomision ddhh: de verdad historica reparacion integral y garantia de no repeticion viernes 20 de agosto,https://mdstrm.com/video/611ff84672ad86082f46734d.mp4,https://convencion.tv/video/subcomision-ddhh-de-verdad-historica-reparacion-integral-y-garantia-de-no-repeticion-convencion-constitucional-viernes-20-de-agosto-2021
